ID,Name,Album,Artist,Link
24,Perfect,÷ (Deluxe),Ed Sheeran,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
25,24K Magic,24K Magic,Bruno Mars,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
26,Friends (with BloodPop®),Friends (with BloodPop®),Justin Bieber,https://open.spotify.com/track/4q6YkS1IktgXxt5vH6StXW
27,Look What You Made Me Do,reputation,Taylor Swift,https://open.spotify.com/track/1P17dC1amhFzptugyAO7Il
28,Sorry Not Sorry,Tell Me You Love Me (Deluxe),Demi Lovato,https://open.spotify.com/track/3e7sxremeOEe9m0UjZLLOx
29,Starboy,Starboy,The Weeknd,https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB
30,Perfect Strangers,Blue,Jonas Blue,https://open.spotify.com/track/5oiSD4EqDmh1y3WzxbiuW4
31,Issues,Nervous System,Julia Michaels,https://open.spotify.com/track/3uB4btLz4vIDz6L2YFaQCU
32,My Way,My Way,Calvin Harris,https://open.spotify.com/track/5PSjpZZ6NCdM1hx3lZ7wqU
33,Ride,Blurryface,Twenty One Pilots,https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW
34,More Than You Know,More Than You Know,Axwell /\ Ingrosso,https://open.spotify.com/track/1YwVRg4yUhMcIRU1yOR9Ot
35,What About Us,Beautiful Trauma,P!nk,https://open.spotify.com/track/0z0sewdRNpa3h8HGs8eow2
36,Slow Hands,Flicker (Deluxe),Niall Horan,https://open.spotify.com/track/7ecUQ6rnj0YJ4AaFPoZPVs
37,Your Song,Phoenix (Deluxe Edition),Rita Ora,https://open.spotify.com/track/4lMDbCRmVk0GjniLUewHw1
38,Crying in the Club,Crying in the Club,Camila Cabello,https://open.spotify.com/track/3eJzRJzgmP6Cq8AG4J8AY1
39,Fetish (feat. Gucci Mane),Fetish (feat. Gucci Mane),Selena Gomez,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
40,Pretty Girl - Cheat Codes X CADE Remix,Pretty Girl (Cheat Codes X CADE Remix),Maggie Lindemann,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
41,...Ready For It?,reputation,Taylor Swift,https://open.spotify.com/track/2yLa0QULdQr0qAIvVwN6B5
42,Castle on the Hill,÷ (Deluxe),Ed Sheeran,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
43,Most Girls,Most Girls,Hailee Steinfeld,https://open.spotify.com/track/1mr3616oP2flpms5rx09tv
44,Silence,Silence,Marshmello,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
45,The Cure,The Cure,Lady Gaga,https://open.spotify.com/track/4bJx3sR3Z3wRt1FD0W3qvG
46,Kesariya,Brahmāstra: Part One – Shiva,Pritam & Arijit Singh,https://open.spotify.com/track/6sFIWsNpZYqfjUpaCgueju
47,Tum Hi Ho,Aashiqui 2,Mohit Chauhan,https://open.spotify.com/track/6pVyziW4eUEPu1S5HOrKCC
48,Raataan Lambiyan,Shershaah,Jubin Nautiyal & Asees Kaur,https://open.spotify.com/track/4kflIGfjdZJW4ot2ioixTB
49,Chaleya,Jawan,Arijit Singh,https://open.spotify.com/track/79h4Jv6IjB11cLzP5t0VdN
50,Shayad,Love Aaj Kal (2020),Arijit Singh,https://open.spotify.com/track/2Foc5Q5nqNiosCNqttzHBt
51,Hamdard,Ek Villain,Arijit Singh,https://open.spotify.com/track/3wFmfxDga0hLSEyuY1Y2ly
52,Baarish Barsaat,Lyrics From The Heart 2,Rahat Fateh Ali Khan,https://open.spotify.com/track/05bO8l5B7JebPPiCiQ4zdm
53,Kaise Hua,Bro,Vishal Mishra,https://open.spotify.com/track/1ETmx9h9Q4Ik97nlKgYZZ9
54,Khairiyat,Chhichhore,Pritam & Arijit Singh,https://open.spotify.com/track/0mr64UlFv9qmdn8lz1zq2C
55,Phir Kabhi,MS Dhoni: The Untold Story,Shivamm Pathak,https://open.spotify.com/track/1yzIQVbvqTe2oHoPu7defW
