ID,Name,Album,Artist,Link
34,Beautiful Mistakes (feat. Megan Thee Stallion),JORDI (Deluxe),Maroon 5,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
35,Heartbreak Anniversary,TAKE TIME,Giveon,https://open.spotify.com/track/3Ofmpyhv5UAQ70mENzB277
36,Fiel,Los Legendarios 001,Los Legendarios,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
37,2/Catorce,2/Catorce,Rauw Alejandro,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
38,The Business,The Business,Tiësto,https://open.spotify.com/track/2XjFMQ6qFspQvdhfQeGc0G
39,telepatía,Sin Miedo (del Amor y Otros Demonios) ∞,Kali Uchis,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
40,Mood (feat. iann dior),El Dorado,24kGoldn,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
41,Save Your Tears,After Hours,The Weeknd,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
42,Rasputin,Rasputin,Majestic,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
43,Your Love (9PM),Your Love (9PM),ATB,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
44,Wants and Needs (feat. Lil Baby),Scary Hours 2,Drake,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
45,enough for you,SOUR,Olivia Rodrigo,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
46,Botella Tras Botella,Botella Tras Botella,Gera MX,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
47,EL MAKINON,KG0516,KAROL G,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
48,Lost Cause,Lost Cause,Billie Eilish,https://open.spotify.com/track/3rfhI3x31XyD2YTFdYpCzP
49,Miénteme,Miénteme,TINI,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
50,What Jhumka?,Rocky Aur Rani Kii Prem Kahaani,Arijit Singh,https://open.spotify.com/track/0jU4M5a5wj7z5TtF7iXK2t
51,Naatu Naatu,RRR,Rahul Sipligunj & Kaala Bhairava,https://open.spotify.com/track/5rJ7tVfSjmrPzj9aOYd5KZ
52,Tum Tum,Enemy,Vivek–Mervin,https://open.spotify.com/track/0z1xCMREi04aZK0uETgCcA
53,Param Sundari,Mimi,Shreya Ghoshal,https://open.spotify.com/track/4XqFP9v5KVaVgzdKk5qbyV
54,Apna Bana Le,Bhediya,Arijit Singh,https://open.spotify.com/track/1ei3hzQmrgealgRKFxIcWn
55,Firecracker,Jayeshbhai Jordaar,Vishal Dadlani & Sheykhar Ravjiani,https://open.spotify.com/track/6hzXJjQ0XwJ8o1RfA0z3LV
56,Main Khiladi,Selfiee,Udit Narayan & Abhijeet Bhattacharya,https://open.spotify.com/track/2dF2yNMQFRuURuYyODsvG9
57,Tere Pyaar Mein,Tu Jhoothi Main Makkaar,Arijit Singh,https://open.spotify.com/track/0DqF8nnS5ckDI9XpN0IUzH
58,Coka 2.0,Liger,Sukh-E & Lisa Mishra,https://open.spotify.com/track/0KItktD8hS6kplf4Dkb2Fp
59,Kala Chashma,Baar Baar Dekho,Amar Arshi & Neha Kakkar,https://open.spotify.com/track/6fBd0DjM16I0P3gH49heA6
